municipality,zip_code,age,gender,state,municipality_type
Unknown,34275,45,M,FL,state
Unknown,30236,85,F,GA,state
Unknown,01201,61,F,MA,state
Unknown,32909,57,M,FL,state
Unknown,28374,23,M,NC,state
City Of Lawrence,34744,21,F,FL,municipal
Unknown,29566,23,F,SC,state
Unknown,02359,12,M,MA,state
Town Of Middleborough,02360,63,F,MA,municipal
Unknown,12188,40,F,NY,state
Unknown,33981,60,M,FL,state
Unknown,82414,46,M,WY,state
City Of Springfield,01119,4,M,MA,municipal
Unknown,46614,59,F,IN,state
Unknown,33139,76,M,FL,state
Unknown,02072,64,F,MA,state
Unknown,32935,59,F,FL,state
Unknown,27282,50,F,NC,state
City Of Lawrence,01845,83,F,MA,municipal
Unknown,01902,60,F,MA,state
City Of Springfield,28443,56,M,NC,municipal
Unknown,28129,61,F,NC,state
Unknown,75202,45,F,TX,state
Unknown,10956,35,M,NY,state
City Of Haverhill,32725,64,M,FL,municipal
Unknown,12090,16,M,NY,state
Unknown,32114,75,F,FL,state
Unknown,33598,60,F,FL,state
Unknown,32224,18,M,FL,state
Unknown,12816,41,F,NY,state
Unknown,34210,60,F,FL,state
Unknown,89118,61,F,NV,state
Unknown,01095,20,M,MA,state
Unknown,94565,63,F,CA,state
Unknown,33955,63,F,FL,state
Unknown,33993,60,M,FL,state
Unknown,02740,25,M,MA,state
Town Of Framingham,34293,63,F,FL,municipal
Unknown,80033,81,F,CO,state
Unknown,41048,53,F,KY,state
Unknown,34614,59,F,FL,state
Unknown,02191,61,M,MA,state
Unknown,01003,73,M,MA,state
Unknown,02780,52,M,MA,state
Unknown,12564,62,M,NY,state
Unknown,29369,63,F,SC,state
Unknown,33981,58,M,FL,state
Unknown,85737,71,F,AZ,state
Unknown,29569,59,F,SC,state
Unknown,02359,42,F,MA,state
Unknown,28306,18,M,NC,state
Unknown,33308,55,M,FL,state
Unknown,33901,75,M,FL,state
Unknown,77459,62,F,TX,state
Unknown,32724,57,F,FL,state
Unknown,02061,38,F,MA,state
Unknown,33064,60,M,FL,state
Unknown,32129,61,M,FL,state
Unknown,28906,75,M,NC,state
Town Of Brookline,02458,57,F,MA,municipal
Unknown,85363,61,F,AZ,state
Unknown,32129,63,F,FL,state
Unknown,01240,84,F,MA,state
Unknown,00000,58,M,NA,state
Unknown,28456,74,F,NC,state
Unknown,32940,59,F,FL,state
Unknown,34110,60,F,FL,state
Unknown,33947,59,M,FL,state
Unknown,36108,62,F,AL,state
Unknown,30013,35,F,GA,state
Unknown,31558,25,F,GA,state
Town Of Framingham,33860,80,M,FL,municipal
City Of Springfield,32967,58,F,FL,municipal
Unknown,14098,56,M,NY,state
Unknown,33545,48,F,FL,state
Unknown,34759,23,F,FL,state
Unknown,53578,64,F,WI,state
Unknown,43160,61,M,OH,state
Mohawk Trl Reg. School Dist.,34481,62,F,FL,municipal
Unknown,34711,55,F,FL,state
Unknown,29486,23,M,SC,state
Unknown,77449,19,F,TX,state
Unknown,29569,13,F,SC,state
Unknown,77433,64,F,TX,state
Unknown,28804,63,F,NC,state
Unknown,33607,64,F,FL,state
Unknown,26582,68,F,WV,state
Unknown,02359,25,M,MA,state
Unknown,85044,61,M,AZ,state
Unknown,29209,60,M,SC,state
Unknown,77449,41,F,TX,state
Unknown,32927,74,M,FL,state
Unknown,78641,2,M,TX,state
Unknown,28146,81,F,NC,state
Town Of Framingham,01701,60,M,MA,municipal
Unknown,34450,81,M,FL,state
Unknown,34104,50,F,FL,state
Unknown,64093,52,M,MO,state
Unknown,32164,76,M,FL,state
Unknown,28804,63,M,NC,state
Unknown,34691,64,F,FL,state
Unknown,30066,62,M,GA,state
City Of Haverhill,34288,64,F,FL,municipal
Unknown,01462,56,M,MA,state
Unknown,10025,62,F,NY,state
Unknown,34275,22,M,FL,state
Unknown,32092,38,F,FL,state
Unknown,77433,35,M,TX,state
Unknown,34211,59,M,FL,state
Unknown,28714,50,F,NC,state
Unknown,32080,60,F,FL,state
Unknown,32080,60,F,FL,state
Unknown,34688,56,M,FL,state
Unknown,07726,64,M,NJ,state
Unknown,28571,15,M,NC,state
Unknown,14456,56,M,NY,state
Unknown,34759,53,F,FL,state
Unknown,33442,88,M,FL,state
Unknown,01905,54,F,MA,state
City Of Lawrence,34744,16,M,FL,municipal
Unknown,32068,49,F,FL,state
Unknown,02745,51,M,MA,state
Unknown,94501,81,M,CA,state
Unknown,34953,64,F,FL,state
Unknown,01035,25,F,MA,state
Unknown,12138,49,M,NY,state
Unknown,32968,64,F,FL,state
Unknown,32708,24,F,FL,state
Unknown,12866,64,F,NY,state
Unknown,32757,56,M,FL,state
Unknown,32137,57,M,FL,state
Unknown,34209,79,M,FL,state
Unknown,32163,60,F,FL,state
Unknown,32163,60,F,FL,state
Town Of Brookline,02904,2,F,RI,municipal
Unknown,96814,85,M,HI,state
Unknown,34771,40,M,FL,state
Unknown,12168,37,F,NY,state
Unknown,40517,14,M,KY,state
Unknown,85632,61,F,AZ,state
Unknown,32304,16,M,FL,state
Unknown,29576,11,M,SC,state
Unknown,34113,60,F,FL,state
Unknown,34288,49,M,FL,state
Unknown,01464,23,M,MA,state
Unknown,33810,62,M,FL,state
Unknown,27282,24,M,NC,state
Town Of Brookline,33928,88,M,FL,municipal
Unknown,15116,37,M,PA,state
Unknown,30127,17,F,GA,state
Unknown,32127,63,M,FL,state
Unknown,34788,81,M,FL,state
Unknown,08062,73,M,NJ,state
Town Of North Andover,28075,77,F,NC,municipal
Unknown,29349,14,F,SC,state
Unknown,34677,63,F,FL,state
Town Of Randolph,29466,60,F,SC,municipal
Unknown,90713,59,F,CA,state
Unknown,29579,67,F,SC,state
Unknown,34112,63,F,FL,state
Unknown,29566,54,F,SC,state
Gill Montague Reg. School Dist,34949,76,F,FL,municipal
Unknown,29579,63,F,SC,state
Unknown,34104,54,F,FL,state
Unknown,34683,60,F,FL,state
Unknown,29566,54,M,SC,state
Unknown,28211,3,M,NC,state
Unknown,01886,22,F,MA,state
Unknown,32034,44,F,FL,state
Town Of Millis,02038,25,M,MA,municipal
Town Of Weymouth,19958,63,F,DE,municipal
Unknown,30157,39,F,GA,state
Unknown,32052,61,F,FL,state
City Of Lawrence,34120,54,F,FL,municipal
Town Of Weymouth,77429,60,M,TX,municipal
Unknown,34714,56,M,FL,state
Unknown,34212,54,M,FL,state
Unknown,00767,58,M,PR,state
Unknown,32068,13,F,FL,state
Unknown,32068,13,F,FL,state
Unknown,98012,28,M,WA,state
Unknown,34209,50,M,FL,state
Unknown,34266,58,F,FL,state
City Of Somerville,34986,59,F,FL,municipal
Unknown,02130,1,M,MA,state
Unknown,32081,55,F,FL,state
Unknown,65203,18,M,MO,state
Unknown,33469,62,M,FL,state
City Of Haverhill,34104,60,F,FL,municipal
Unknown,12834,25,F,NY,state
Unknown,22443,34,M,VA,state
Unknown,33458,81,M,FL,state
Unknown,32137,65,M,FL,state
Unknown,87594,87,F,NM,state
Unknown,33132,61,M,FL,state
City Of Northampton-Hr,01026,64,M,MA,municipal
Unknown,01253,53,F,MA,state
Unknown,30518,62,M,GA,state
Town Of Lexington,01730,38,M,MA,municipal
Unknown,85750,60,M,AZ,state
Unknown,92683,65,M,CA,state
Unknown,32304,20,F,FL,state
Unknown,53718,73,F,WI,state
Unknown,92620,17,M,CA,state
Unknown,32796,17,M,FL,state
Unknown,33432,24,M,FL,state
Town Of Framingham,77578,56,M,TX,municipal
City Of Gloucester,79734,75,F,TX,municipal
Unknown,33913,57,F,FL,state
Unknown,28374,49,F,NC,state
Unknown,10801,38,F,NY,state
Unknown,02780,52,F,MA,state
City Of Lowell,33030,16,F,FL,municipal
Unknown,08098,63,F,NJ,state
Unknown,85737,23,M,AZ,state
Unknown,33759,81,F,FL,state
Unknown,32259,69,M,FL,state
City Of Lowell,89130,67,F,NV,municipal
Unknown,28277,62,M,NC,state
Unknown,34787,51,F,FL,state
Unknown,75137,56,M,TX,state
Unknown,14226,40,M,NY,state
Unknown,62901,60,F,IL,state
Unknown,34285,89,M,FL,state
Unknown,33948,62,F,FL,state
Unknown,32707,63,F,FL,state
Unknown,34984,66,M,FL,state
Unknown,34433,94,M,FL,state
Unknown,75072,60,F,NA,state
Unknown,32159,58,F,FL,state
Unknown,92647,63,F,CA,state
Unknown,33919,64,F,FL,state
Unknown,29486,62,M,SC,state
Unknown,01453,59,M,MA,state
Unknown,01886,51,F,MA,state
Unknown,34119,61,F,FL,state
Unknown,34119,61,F,FL,state
Unknown,57018,67,M,SD,state
Unknown,89130,57,M,NV,state
Unknown,33908,20,F,FL,state
Unknown,40517,19,F,KY,state
City Of Springfield,32163,55,M,FL,municipal
Unknown,33914,60,F,FL,state
Unknown,33914,60,F,FL,state
Unknown,32137,55,F,FL,state
Unknown,33708,83,F,FL,state
Unknown,34221,60,F,FL,state
Unknown,21046,78,F,MD,state
Unknown,02715,21,M,MA,state
Unknown,02762,43,M,MA,state
Unknown,28571,57,F,NC,state
Unknown,29568,65,M,SC,state
Unknown,32034,82,M,FL,state
City Of Springfield,33460,47,M,FL,municipal
Unknown,28092,21,M,NC,state
Unknown,32129,25,M,FL,state
Unknown,17257,42,M,PA,state
City Of Springfield,34224,24,M,FL,municipal
Unknown,29579,57,M,SC,state
Unknown,29579,57,M,SC,state
Unknown,33884,50,F,FL,state
Town Of Stoneham,20176,61,F,VA,municipal
Unknown,75126,5,F,TX,state
Unknown,02170,59,M,MA,state
Unknown,75035,62,M,TX,state
City Of Springfield,34229,61,M,FL,municipal
Town Of Arlington,34237,64,F,FL,municipal
Unknown,64055,23,F,MO,state
Unknown,33950,57,F,FL,state
Unknown,78240,64,F,TX,state
Unknown,01108,63,F,MA,state
Unknown,77090,36,F,TX,state
Unknown,29927,56,F,SC,state
City Of Lawrence,32940,64,M,FL,municipal
Unknown,33547,58,M,FL,state
Unknown,33547,58,M,FL,state
Unknown,21769,65,M,MD,state
City Of Salem,33763,58,M,FL,municipal
Unknown,33563,64,M,FL,state
Unknown,34432,63,F,FL,state
Unknown,32539,23,F,FL,state
Unknown,29579,53,M,SC,state
Unknown,40004,62,M,KY,state
Unknown,32124,60,M,FL,state
Unknown,02180,6,F,MA,state
Unknown,34275,20,M,FL,state
Unknown,34238,56,M,FL,state
Unknown,12168,64,F,NY,state
Unknown,20007,67,M,DC,state
City Of Springfield,34287,10,M,FL,municipal
Town Of Weymouth,19958,25,M,DE,municipal
Unknown,32304,23,F,FL,state
Unknown,12955,64,M,NY,state
Unknown,01340,20,M,MA,state
Unknown,46062,63,F,IN,state
Unknown,33602,60,F,FL,state
Unknown,12061,37,M,NY,state
Unknown,77365,31,M,TX,state
City Of Springfield,01013,61,M,MA,municipal
Unknown,89012,43,F,NV,state
Unknown,29588,70,F,SC,state
Unknown,21666,3,M,MD,state
Unknown,32771,79,F,FL,state
Unknown,10461,65,F,NY,state
Unknown,85138,63,F,AZ,state
Unknown,29527,63,F,SC,state
Unknown,32163,75,F,FL,state
Town Of Lexington,33908,62,M,FL,municipal
Unknown,98136,55,F,WA,state
Unknown,01970,42,F,MA,state
Unknown,75002,80,F,TX,state
Unknown,20152,15,F,VA,state
Unknown,33545,62,F,FL,state
Unknown,21742,57,F,MD,state
Unknown,20009,32,F,DC,state
Unknown,01532,25,F,MA,state
Unknown,33186,43,F,FL,state
Unknown,33771,63,F,FL,state
Unknown,33950,57,M,FL,state
Unknown,01003,54,F,MA,state
Unknown,33414,56,F,FL,state
Unknown,12603,82,F,NY,state
Unknown,12090,33,M,NY,state
Unknown,33761,61,M,FL,state
Unknown,16002,53,F,PA,state
Unknown,02180,9,M,MA,state
Unknown,02370,19,F,MA,state
City Of Springfield,43140,63,F,OH,municipal
Unknown,30097,57,F,GA,state
Town Of Brookline,02346,24,M,MA,municipal
Unknown,77493,64,F,TX,state
Unknown,34119,64,F,FL,state
Unknown,34119,64,F,FL,state
Unknown,32940,23,F,FL,state
Unknown,30127,23,M,GA,state
Unknown,29575,61,F,SC,state
Unknown,29575,61,F,SC,state
Unknown,02919,56,M,RI,state
Unknown,34288,55,F,FL,state
Unknown,33069,62,F,FL,state
Unknown,83864,58,M,ID,state
Unknown,40330,59,F,KY,state
Unknown,32968,63,M,FL,state
Unknown,32535,78,F,FL,state
Town Of Brookline,02346,58,F,MA,municipal
Unknown,01462,62,F,MA,state
Unknown,01462,62,F,MA,state
Unknown,64468,40,F,MO,state
Unknown,87508,49,M,NM,state
Unknown,02026,61,M,MA,state
Unknown,87114,44,M,NM,state
Unknown,33948,55,M,FL,state
Unknown,29588,24,M,SC,state
Unknown,02170,25,M,MA,state
Unknown,27526,53,F,NC,state
Town Of Weymouth,02190,62,F,MA,municipal
Unknown,02472,60,M,MA,state
Unknown,32164,63,M,FL,state
Unknown,32164,63,M,FL,state
Unknown,34758,59,M,FL,state
City Of Somerville,33598,79,M,FL,municipal
Unknown,37087,52,M,TN,state
Unknown,38340,64,M,TN,state
Unknown,33770,64,M,FL,state
Unknown,02169,64,F,MA,state
Unknown,28562,55,F,NC,state
Unknown,33905,63,F,FL,state
Unknown,33905,63,F,FL,state
Unknown,34684,56,F,FL,state
Unknown,21804,63,F,MD,state
Unknown,34715,81,M,FL,state
Unknown,29526,62,M,SC,state
Town Of Swampscott,34120,24,M,FL,municipal
Unknown,29575,22,M,SC,state
Unknown,34698,63,F,FL,state
Unknown,37803,23,M,TN,state
Unknown,02919,24,M,RI,state
City Of Lowell,01852,61,M,MA,municipal
Unknown,02301,47,F,MA,state
Unknown,36360,57,F,AL,state
Unknown,22602,22,F,VA,state
Unknown,34292,63,M,FL,state
Unknown,34292,63,M,FL,state
Unknown,12125,52,M,NY,state
Unknown,11238,5,M,NY,state
Unknown,32164,77,F,FL,state
Unknown,30058,58,F,GA,state
Unknown,02553,57,F,MA,state
City Of Springfield,34953,64,F,FL,municipal
Unknown,34698,54,M,FL,state
Unknown,34714,60,F,FL,state
Unknown,32539,63,M,FL,state
Town Of Stoneham,33308,90,M,FL,municipal
Unknown,10035,18,M,NY,state
Unknown,01340,24,F,MA,state
Unknown,75093,71,M,TX,state
Unknown,45236,18,F,OH,state
Town Of Marblehead,01945,64,M,MA,municipal
City Of Springfield,33914,61,M,FL,municipal
Unknown,01876,69,F,MA,state
City Of Springfield,33484,63,M,FL,municipal
Unknown,02660,22,M,MA,state
Town Of Brookline,85298,48,M,AZ,municipal
Unknown,68069,48,F,NE,state
Unknown,29572,64,F,SC,state
Unknown,34233,40,M,FL,state
Unknown,27616,57,M,NC,state
Unknown,27526,36,M,NC,state
Unknown,14209,26,M,NY,state
Unknown,96814,70,F,HI,state
Town Of Brookline,32404,57,F,FL,municipal
Unknown,02038,61,F,MA,state
Unknown,32163,57,F,FL,state
Unknown,13502,56,F,NY,state
Unknown,32163,64,F,FL,state
Unknown,29572,71,F,SC,state
Unknown,01835,63,F,MA,state
Unknown,27522,64,F,NC,state
Town Of Swampscott,01923,59,F,MA,municipal
City Of Springfield,01028,31,F,MA,municipal
Unknown,28277,22,F,NC,state
Unknown,33462,57,M,FL,state
Unknown,75165,11,M,TX,state
Unknown,12144,33,M,NY,state
Unknown,01540,19,F,MA,state
Unknown,01540,19,F,MA,state
Unknown,89052,84,M,NV,state
Unknown,30294,60,F,GA,state
Unknown,01464,21,F,MA,state
Town Of Bedford,89014,63,M,NV,municipal
Unknown,32726,58,M,FL,state
Unknown,30253,64,F,GA,state
Unknown,48178,17,M,MI,state
Unknown,34711,54,F,FL,state
Unknown,92130,64,F,CA,state
Unknown,50309,57,F,IA,state
Unknown,32224,82,M,FL,state
Town Of Randolph,28117,58,M,NC,municipal
Unknown,30132,24,M,GA,state
Unknown,30132,24,M,GA,state
Unknown,12410,56,M,NY,state
Unknown,34202,25,M,FL,state
Unknown,02762,15,M,MA,state
Unknown,34109,64,F,FL,state
Unknown,22901,22,F,VA,state
Unknown,78245,55,F,TX,state
Unknown,29577,59,F,SC,state
Unknown,78259,80,F,TX,state
Unknown,02360,54,F,MA,state
Town Of Weston,80517,59,M,CO,municipal
Unknown,29526,62,F,SC,state
Unknown,78641,4,F,TX,state
Unknown,32976,62,F,FL,state
Unknown,30179,59,M,GA,state
Unknown,27407,21,F,NC,state
Unknown,33513,60,F,FL,state
City Of Salem,33309,43,M,FL,municipal
Pentucket Regional School Dist,78641,60,F,TX,municipal
Unknown,34758,53,F,FL,state
Unknown,34446,63,F,FL,state
Unknown,34957,62,F,FL,state
Unknown,02035,20,F,MA,state
Unknown,33976,59,M,FL,state
Pentucket Regional School Dist,27330,62,F,NC,municipal
City Of Springfield,33771,64,F,FL,municipal
Unknown,44224,39,M,OH,state
Unknown,33155,65,F,FL,state
Town Of Lexington,37064,62,F,TN,municipal
Unknown,29575,47,F,SC,state
Unknown,11226,53,F,NY,state
Unknown,28443,64,F,NC,state
Unknown,12144,4,F,NY,state
Unknown,60462,6,F,IL,state
Unknown,34957,77,M,FL,state
Unknown,33132,57,F,FL,state
Unknown,02472,46,F,MA,state
Unknown,33990,64,M,FL,state
Unknown,33763,63,M,FL,state
Unknown,02191,62,F,MA,state
Unknown,29579,60,M,SC,state
Unknown,29579,60,M,SC,state
Unknown,34952,50,F,FL,state
Unknown,32095,60,F,FL,state
Unknown,28571,75,F,NC,state
Unknown,32127,59,F,FL,state
Unknown,32127,59,F,FL,state
Unknown,34677,24,M,FL,state
Unknown,85028,78,F,AZ,state
Unknown,01002,45,M,MA,state
Unknown,02135,71,M,MA,state
Unknown,83340,64,M,ID,state
Unknown,29620,67,F,SC,state
Pentucket Regional School Dist,28461,60,M,NC,municipal
Unknown,32413,57,F,FL,state
Unknown,23188,25,M,VA,state
Unknown,29568,58,M,SC,state
Unknown,01056,57,F,MA,state
Unknown,29575,57,F,SC,state
Unknown,02119,56,F,MA,state
Unknown,27278,55,M,NC,state
Unknown,01035,60,F,MA,state
City Of Haverhill,32162,77,M,FL,municipal
Unknown,01002,54,M,MA,state
Unknown,33917,62,F,FL,state
Unknown,34293,59,F,FL,state
Unknown,07722,52,F,NJ,state
City Of Springfield,33701,59,M,FL,municipal
Unknown,80302,53,M,CO,state
Unknown,27616,75,F,NC,state
Unknown,01340,63,M,MA,state
City Of Melrose,34134,76,M,FL,municipal
Unknown,89041,67,F,NV,state
Unknown,29568,63,F,SC,state
Unknown,33990,62,F,FL,state
Unknown,33990,62,F,FL,state
Unknown,01075,63,M,MA,state
Unknown,30248,22,M,GA,state
Unknown,65807,15,M,MO,state
Unknown,29906,54,M,SC,state
Unknown,34109,63,F,FL,state
Unknown,02341,58,F,MA,state
Unknown,30040,59,M,GA,state
Unknown,02601,25,F,MA,state
Town Of Brookline,28804,76,F,NC,municipal
Unknown,98144,22,F,WA,state
Unknown,60181,59,F,IL,state
Unknown,32218,63,F,FL,state
Unknown,01905,64,F,MA,state
Unknown,34481,21,F,FL,state
Unknown,34289,62,F,FL,state
Unknown,34231,61,F,FL,state
Unknown,85142,55,F,AZ,state
Unknown,00773,64,F,PR,state
City Of Springfield,34293,71,F,FL,municipal
Unknown,29732,61,F,SC,state
City Of Springfield,28216,24,F,NC,municipal
City Of Springfield,32940,60,F,FL,municipal
Unknown,85713,63,M,AZ,state
Unknown,45236,61,F,OH,state
Unknown,27520,61,F,NC,state
Unknown,01604,63,F,MA,state
Unknown,80222,78,F,CO,state
Unknown,02171,32,F,MA,state
Unknown,33444,62,M,FL,state
Unknown,34655,63,F,FL,state
Unknown,96813,71,M,HI,state
Blue Hills Regional Hs,28443,64,F,NC,municipal
Unknown,29588,59,M,SC,state
Unknown,02188,62,M,MA,state
Unknown,34609,63,M,FL,state
Unknown,33952,67,M,FL,state
Unknown,32162,65,M,FL,state
Unknown,33467,87,F,FL,state
Unknown,02767,64,F,MA,state
City Of Springfield,28443,53,F,NC,municipal
Unknown,02466,57,F,MA,state
Unknown,89141,61,M,NV,state
Unknown,85268,57,F,AZ,state
Unknown,32735,58,F,FL,state
Unknown,85250,61,M,AZ,state
City Of Springfield,33308,62,M,FL,municipal
Unknown,24450,64,F,VA,state
Unknown,38571,64,M,TN,state
Unknown,34787,59,F,FL,state
Unknown,33446,24,M,FL,state
Unknown,01906,53,M,MA,state
Unknown,32162,60,F,FL,state
Unknown,89129,13,F,NV,state
Unknown,23836,64,M,VA,state
Unknown,01056,64,M,MA,state
Unknown,34105,67,M,FL,state
Unknown,34668,64,M,FL,state
Unknown,13485,21,M,NY,state
City Of Springfield,33991,61,M,FL,municipal
Unknown,89110,59,M,NV,state
City Of Salem,29483,62,F,SC,municipal
Unknown,33066,59,F,FL,state
Unknown,33066,59,F,FL,state
Unknown,28409,49,M,NC,state
Unknown,89121,67,F,NV,state
Unknown,32164,56,M,FL,state
Unknown,77095,62,M,TX,state
Unknown,02150,60,F,MA,state
Unknown,34224,61,F,FL,state
Unknown,85379,59,M,AZ,state
Unknown,19050,34,M,PA,state
Unknown,07090,61,M,NJ,state
Unknown,30013,74,F,GA,state
Unknown,11226,67,F,NY,state
Unknown,34288,76,F,FL,state
Unknown,01085,60,M,MA,state
Unknown,02559,77,F,MA,state
Unknown,12474,61,F,NY,state
City Of Springfield,32164,60,F,FL,municipal
Unknown,78254,61,F,TX,state
Unknown,33469,65,F,FL,state
Unknown,75165,8,F,TX,state
Unknown,33763,61,F,FL,state
City Of Haverhill,03874,74,F,NH,municipal
Unknown,32828,71,F,FL,state
Unknown,95835,67,M,CA,state
Unknown,60712,31,F,IL,state
Unknown,01752,52,F,MA,state
City Of Springfield,33460,45,F,FL,municipal
Unknown,33953,57,F,FL,state
Unknown,37040,22,F,TN,state
Unknown,83864,23,M,ID,state
Unknown,32814,38,M,FL,state
City Of Lowell,32712,16,M,FL,municipal
Unknown,21077,53,M,MD,state
Unknown,02359,18,M,MA,state
Unknown,02359,18,M,MA,state
Unknown,23168,44,M,VA,state
City Of Gloucester,33904,59,F,FL,municipal
City Of Lawrence,03873,19,M,NH,municipal
Unknown,02062,59,F,MA,state
Unknown,02745,40,F,MA,state
City Of Springfield,33446,73,M,FL,municipal
Unknown,12410,23,F,NY,state
Unknown,33029,27,F,FL,state
Unknown,01464,55,F,MA,state
Unknown,33913,64,M,FL,state
Unknown,34986,55,F,FL,state
Unknown,37742,64,M,TN,state
Unknown,33991,49,M,FL,state
Unknown,84401,36,M,UT,state
Unknown,32304,6,F,FL,state
Unknown,77494,63,M,TX,state
Unknown,37040,21,M,TN,state
City Of Springfield,29579,15,M,SC,municipal
Unknown,32967,57,F,FL,state
Unknown,12065,18,F,NY,state
Unknown,02453,62,F,MA,state
Unknown,33919,62,M,FL,state
Unknown,24104,48,M,VA,state
Unknown,32162,62,M,FL,state
City Of Lawrence,34758,17,M,FL,municipal
Unknown,37681,60,M,TN,state
Unknown,02050,65,F,MA,state
Unknown,02050,65,F,MA,state
Unknown,44224,11,M,OH,state
Unknown,39502,60,F,MS,state
Unknown,41031,59,F,KY,state
Unknown,60657,62,F,IL,state
Unknown,02170,27,M,MA,state
Unknown,12090,56,F,NY,state
Unknown,37643,77,F,TN,state
Unknown,33755,65,F,FL,state
Unknown,38572,56,F,TN,state
Town Of Brookline,02904,37,F,RI,municipal
Unknown,02364,53,F,MA,state
Unknown,28037,63,F,NC,state
Unknown,33897,46,M,FL,state
Unknown,48178,15,M,MI,state
Unknown,33317,60,F,FL,state
Unknown,02048,56,M,MA,state
Unknown,33710,39,M,FL,state
Unknown,80238,15,M,CO,state
Unknown,32958,56,M,FL,state
Unknown,33771,61,F,FL,state
Unknown,41048,23,F,KY,state
Unknown,33908,61,F,FL,state
Town Of Brookline,33914,63,M,FL,municipal
Unknown,27527,57,F,NC,state
Unknown,34428,60,M,FL,state
Unknown,28428,63,F,NC,state
Unknown,28428,63,F,NC,state
Unknown,30014,8,F,GA,state
Unknown,33338,78,M,FL,state
Unknown,81323,63,M,CO,state
Unknown,33907,57,F,FL,state
Unknown,33907,57,F,FL,state
Town Of Stoneham,33308,77,M,FL,municipal
Unknown,84401,35,F,UT,state
Unknown,32536,64,F,FL,state
Unknown,02360,25,M,MA,state
Unknown,02360,25,M,MA,state
Unknown,32068,51,M,FL,state
Unknown,01826,58,M,MA,state
City Of Haverhill,03833,54,F,NH,municipal
City Of Somerville,77469,16,M,TX,municipal
Unknown,83704,73,M,ID,state
Unknown,33707,60,F,FL,state
Unknown,28402,60,M,NC,state
Town Of Framingham,29666,62,F,SC,municipal
Unknown,33319,64,F,FL,state
Unknown,97031,77,F,OR,state
Unknown,34293,57,M,FL,state
Unknown,90272,59,F,CA,state
Unknown,01254,31,F,MA,state
Unknown,33928,49,M,FL,state
City Of Somerville,33909,49,F,FL,municipal
Town Of Framingham,33598,64,F,FL,municipal
City Of Springfield,01040,66,M,MA,municipal
Town Of Framingham,01527,59,F,MA,municipal
Unknown,32746,14,M,FL,state
Unknown,11426,61,M,NY,state
Unknown,34134,61,F,FL,state
City Of Springfield,34986,42,F,FL,municipal
Unknown,29472,58,F,SC,state
Unknown,34119,63,F,FL,state
Unknown,89113,23,M,NV,state
Unknown,33954,64,M,FL,state
Unknown,02744,57,M,MA,state
Unknown,29486,55,F,SC,state
Unknown,19103,60,F,PA,state
Unknown,34108,50,F,FL,state
Unknown,34145,60,M,FL,state
Unknown,32746,67,F,FL,state
Town Of Randolph,98338,78,M,WA,municipal
Unknown,30041,25,M,GA,state
Unknown,92683,63,F,CA,state
Unknown,33556,61,M,FL,state
Unknown,21044,59,F,MD,state
Unknown,01475,25,F,MA,state
Unknown,33914,59,F,FL,state
Unknown,32940,56,F,FL,state
Unknown,32966,62,F,FL,state
Unknown,23227,61,F,VA,state
Unknown,40517,18,F,KY,state
Unknown,34951,62,F,FL,state
Unknown,89130,21,F,NV,state
Unknown,34288,15,F,FL,state
Unknown,30187,23,F,GA,state
Unknown,33909,60,F,FL,state
Unknown,28078,58,F,NC,state
Unknown,32822,22,F,FL,state
Unknown,29575,60,M,SC,state
Unknown,01007,57,F,MA,state
Unknown,92620,50,F,CA,state
Unknown,90405,62,F,CA,state
Unknown,97701,77,F,OR,state
Unknown,02169,55,F,MA,state
Town Of Westwood,02081,63,F,MA,municipal
Unknown,34275,57,F,FL,state
Unknown,61073,76,F,IL,state
Unknown,34275,64,F,FL,state
Unknown,32976,68,F,FL,state
Unknown,37807,63,M,TN,state
Unknown,34119,81,F,FL,state
Unknown,02601,61,F,MA,state
Unknown,86406,25,M,AZ,state
Unknown,31605,59,F,GA,state
Unknown,34773,53,F,FL,state
Unknown,33626,58,F,FL,state
Unknown,32034,15,F,FL,state
Unknown,85267,60,F,AZ,state
Unknown,57719,62,F,SD,state
Town Of Weymouth,34997,58,F,FL,municipal
Unknown,33483,25,F,FL,state
Unknown,29072,50,F,SC,state
Unknown,10031,46,M,NY,state
Unknown,01027,56,F,MA,state
Unknown,08759,84,F,NJ,state
Unknown,65109,76,M,MO,state
Unknown,30039,56,F,GA,state
Unknown,28327,69,F,NC,state
Unknown,37803,63,F,TN,state
Unknown,75093,63,F,TX,state
Unknown,80501,93,F,CO,state
Unknown,34208,44,M,FL,state
Unknown,70783,23,F,LA,state
Unknown,34953,57,M,FL,state
Unknown,34953,57,M,FL,state
Unknown,34771,14,M,FL,state
Unknown,32966,63,F,FL,state
Unknown,94595,82,M,CA,state
Unknown,63025,60,F,MO,state
Unknown,75137,60,F,TX,state
Unknown,32507,57,F,FL,state
Unknown,02341,64,M,MA,state
City Of Springfield,01040,25,F,MA,municipal
Town Of Norwood,32084,63,F,FL,municipal
Unknown,85308,57,M,AZ,state
Unknown,29209,59,F,SC,state
Town Of Arlington,33062,58,F,FL,municipal
Unknown,12094,64,F,NY,state
Unknown,29571,63,F,SC,state
Unknown,92122,10,F,CA,state
Unknown,33446,60,F,FL,state
Unknown,35014,21,F,AL,state
City Of Springfield,32725,75,F,FL,municipal
Unknown,12168,62,F,NY,state
